Device_ID,key,Valid,District,Road_EN,Direction,description
TCS02203-2,AID07117,FALSE,Wong Tai Sin,Tate's Cairn Tunnel,South West,Lung Cheung Road near Diamond Hill MTR Station [AID07117]
TCS03101-1,AID03101,FALSE,Central & Western,Connaught Road West Flyover,North East,Connaught Road West Flyover near Tram Depot - Eastbound [AID03101]
TCS03101-1,AID03102,FALSE,Central & Western,Connaught Road West Flyover,North East,Connaught Road West near Western Wholesale Food Market - Northbound [AID03102]
TCS03101-1,AID04103,FALSE,Central & Western,Connaught Road West Flyover,North East,Connaught Road West Flyover near The Westpoint - Eastbound [AID04103]
TCS03101-1,AID04221,FALSE,Central & Western,Connaught Road West Flyover,North East,Connaught Road West Flyover near Courtyard - Westbound [AID04221]
TCS03101-2,AID03102,FALSE,Central & Western,Connaught Road West,North East,Connaught Road West near Western Wholesale Food Market - Northbound [AID03102]
TCS03101-2,AID04103,FALSE,Central & Western,Connaught Road West,North East,Connaught Road West Flyover near The Westpoint - Eastbound [AID04103]
TCS03101-2,AID04221,FALSE,Central & Western,Connaught Road West,North East,Connaught Road West Flyover near Courtyard - Westbound [AID04221]
TCS03101-3,AID03103,FALSE,Central & Western,Connaught Road West Flyover,West,Connaught Road West near Sun Yat Sen Memorial Park - Northbound (1) [AID03103]
TCS03101-3,AID04220,FALSE,Central & Western,Connaught Road West Flyover,West,Connaught Road West Flyover near Sun Yat Sen Memorial Park - Westbound [AID04220]
TCS03101-4,AID04220,FALSE,Central & Western,Connaught Road West,West,Connaught Road West Flyover near Sun Yat Sen Memorial Park - Westbound [AID04220]
TCS03101-4,H703F,FALSE,Central & Western,Connaught Road West,West,Connaught Road West [H703F]
TCS03101-4,AID03104,FALSE,Central & Western,Connaught Road West,West,Connaught Road West near Sun Yat Sen Memorial Park - Northbound (2) [AID03104]
TCS03101-4,AID04104,FALSE,Central & Western,Connaught Road West,West,Connaught Road West Flyover near Sun Yat Sen Memorial Park - Eastbound [AID04104]
TCS03102,AID03209,FALSE,Yau Tsim Mong,West Kowloon Highway,North West,West Kowloon Highway near Hoi Fai Road Promenade - Southbound [AID03209]
TCS03102,AID03210,FALSE,Yau Tsim Mong,West Kowloon Highway,North West,West Kowloon Highway near Olympic Plaza - Southbound [AID03210]
TCS03103,TDS30001,FALSE,Yuen Long,Tsing Long Highway,North East,Tsing Long Highway near Ho Pui - Southbound [TDS30001]
TCS03103,TL102F,FALSE,Yuen Long,Tsing Long Highway,North East,Tai Lam Tunnel - Yuen Long Side [TL102F]
TCS03201,AID04220,FALSE,Central & Western,Western Harbour Crossing,South West,Connaught Road West Flyover near Sun Yat Sen Memorial Park - Westbound [AID04220]
TCS03201,H703F,FALSE,Central & Western,Western Harbour Crossing,South West,Connaught Road West [H703F]
TCS03201,AID03104,FALSE,Central & Western,Western Harbour Crossing,South West,Connaught Road West near Sun Yat Sen Memorial Park - Northbound (2) [AID03104]
TCS03201,AID04104,FALSE,Central & Western,Western Harbour Crossing,South West,Connaught Road West Flyover near Sun Yat Sen Memorial Park - Eastbound [AID04104]
TCS03201,H702F,TRUE,Central & Western,Western Harbour Crossing,South West,Western Harbour Crossing Hong Kong Side [H702F]
TCS03202,AID03209,TRUE,Yau Tsim Mong,West Kowloon Highway,South East,West Kowloon Highway near Hoi Fai Road Promenade - Southbound [AID03209]
TCS03202,AID03108,FALSE,Yau Tsim Mong,West Kowloon Highway,South East,West Kowloon Highway near Olympic MTR Station - Northbound (1) [AID03108]
TCS03203,TDS30001,TRUE,Yuen Long,Tsing Long Highway,South West,Tsing Long Highway near Ho Pui - Southbound [TDS30001]
TCS04101,AID04218,FALSE,Central & Western,Connaught Road CentralFlyover,South East,Connaught Road West Flyover near Shun Tak Centre - Westbound [AID04218]
TCS04102,AID04117,TRUE,Eastern,Island Eastern Corridor,South East,Island Eastern Corridor near Heng Fa Chuen - Eastbound (2) [AID04117]
TCS04102,AID04205,FALSE,Eastern,Island Eastern Corridor,South East,Island Eastern Corridor near Heng Fa Chuen - Northbound (2) [AID04205]
TCS04201,AID04218,FALSE,Central & Western,Connaught Road West Flyover,South East,Connaught Road West Flyover near Shun Tak Centre - Westbound [AID04218]
TCS04201,AID04105,TRUE,Central & Western,Connaught Road West Flyover,South East,Connaught Road West Flyover near Central Police Station - Eastbound [AID04105]
TCS04202-1,AID04116,FALSE,Eastern,Island Eastern Corridor,North West,Island Eastern Corridor near Heng Fa Chuen - Eastbound (1) [AID04116]
TCS04202-1,AID04206,TRUE,Eastern,Island Eastern Corridor,North West,Island Eastern Corridor near Museum of Coastal Defence - Northbound [AID04206]
TCS04202-2,AID04116,FALSE,Eastern,Island Eastern Corridor,North West,Island Eastern Corridor near Heng Fa Chuen - Eastbound (1) [AID04116]
TCS04202-2,AID04206,TRUE,Eastern,Island Eastern Corridor,North West,Island Eastern Corridor near Museum of Coastal Defence - Northbound [AID04206]
TCS05103,AID05109,TRUE,Kowloon City,Chatharn Road North,South West,Chatham Road North near MTR Ho Man Tin Station - Westbound [AID05109]
TCS05103,AID05227,FALSE,Kowloon City,Chatharn Road North,South West,Chatham Road North near MTR Ho Man Tin Station - Eastbound [AID05227]
TCS05104-1,AID05115,TRUE,Yau Tsim Mong,West Kowloon Corridor West,North,West Kowloon Corridor West near Cherry Street Park - Northbound (1) [AID05115]
TCS05104-1,AID05222,FALSE,Yau Tsim Mong,West Kowloon Corridor West,North,West Kowloon Corridor near Cherry Street Park - Southbound (2) [AID05222]
TCS05104-2,AID05115,TRUE,Yau Tsim Mong,West Kowloon Corridor West,North,West Kowloon Corridor West near Cherry Street Park - Northbound (1) [AID05115]
TCS05104-2,AID05222,FALSE,Yau Tsim Mong,West Kowloon Corridor West,North,West Kowloon Corridor near Cherry Street Park - Southbound (2) [AID05222]
TCS05105,AID05125,TRUE,Kwai Tsing,Kwai Chung Road,North West,Kwai Chung Road near Hong Chi Winifred Mary Cheung Morninghope School - Northbound [AID05125]
TCS05105,AID05211,FALSE,Kwai Tsing,Kwai Chung Road,North West,Kwai Chung Road near Hong Chi Winifred Mary Cheung Morninghope School - Southbound [AID05211]
TCS05203,AID05109,FALSE,Kowloon City,Chatharn Road North,North East,Chatham Road North near MTR Ho Man Tin Station - Westbound [AID05109]
TCS05204-1,AID05115,FALSE,Yau Tsim Mong,West Kowloon Corridor,South,West Kowloon Corridor West near Cherry Street Park - Northbound (1) [AID05115]
TCS05204-1,AID05222,TRUE,Yau Tsim Mong,West Kowloon Corridor,South,West Kowloon Corridor near Cherry Street Park - Southbound (2) [AID05222]
TCS05204-2,AID05222,FALSE,Yau Tsim Mong,West Kowloon Corridor,South,West Kowloon Corridor near Cherry Street Park - Southbound (2) [AID05222]
TCS05204-2,AID05114,FALSE,Yau Tsim Mong,West Kowloon Corridor,South,Ferry Street near Cherry Street Park - Northbound [AID05114]
TCS05205,AID05125,FALSE,Kwai Tsing,Kwai Chung Road,South East,Kwai Chung Road near Hong Chi Winifred Mary Cheung Morninghope School - Northbound [AID05125]
TCS05205,AID05211,TRUE,Kwai Tsing,Kwai Chung Road,South East,Kwai Chung Road near Hong Chi Winifred Mary Cheung Morninghope School - Southbound [AID05211]
TCS07101,AID07229,FALSE,Sai Kung,Tseung Kwan O Road,West,Tseung Kwan O Tunnel Road near Tseung Kwan O Tunnel Portal - Eastbound [AID07229]
TCS07102-1,K621F,FALSE,Kwun Tong,Kwun Tong Road,North West,Kwun Tong Road near Kai Yip Estate [K621F]
TCS07102-1,AID07114,TRUE,Kwun Tong,Kwun Tong Road,North West,Kwun Tong Road near Choi Shek Lane - Westbound [AID07114]
TCS07102-1,AID07219,FALSE,Kwun Tong,Kwun Tong Road,North West,Kwun Tong Road near Choi Shek Lane - Eastbound [AID07219]
TCS07102-2,K621F,TRUE,Kwun Tong,Kwun Tong Road (Adjacent),North West,Kwun Tong Road near Kai Yip Estate [K621F]
TCS07102-2,AID07114,FALSE,Kwun Tong,Kwun Tong Road (Adjacent),North West,Kwun Tong Road near Choi Shek Lane - Westbound [AID07114]
TCS07102-2,AID07219,FALSE,Kwun Tong,Kwun Tong Road (Adjacent),North West,Kwun Tong Road near Choi Shek Lane - Eastbound [AID07219]
TCS07201,AID07105,FALSE,Kwun Tong,Tseung Kwan O Road,North East,Tseung Kwan O Road near Lin Tak Road - Westbound [AID07105]
TCS07202-1,K621F,FALSE,Kwun Tong,Kwun Tong Road,South East,Kwun Tong Road near Kai Yip Estate [K621F]
TCS07202-1,AID07114,FALSE,Kwun Tong,Kwun Tong Road,South East,Kwun Tong Road near Choi Shek Lane - Westbound [AID07114]
TCS07202-1,AID07219,TRUE,Kwun Tong,Kwun Tong Road,South East,Kwun Tong Road near Choi Shek Lane - Eastbound [AID07219]
TCS07202-2,K621F,FALSE,Kwun Tong,Kwun Tong Road (Adjacent),South East,Kwun Tong Road near Kai Yip Estate [K621F]
TCS07202-2,AID07114,FALSE,Kwun Tong,Kwun Tong Road (Adjacent),South East,Kwun Tong Road near Choi Shek Lane - Westbound [AID07114]
TCS07202-2,AID07219,FALSE,Kwun Tong,Kwun Tong Road (Adjacent),South East,Kwun Tong Road near Choi Shek Lane - Eastbound [AID07219]
TCS07203,AID07123,FALSE,Kowloon City,Lung Cheung Road,South East,Lung Cheung Road near Elizabethan Court - Westbound [AID07123]
TCS07203,AID07211,TRUE,Kowloon City,Lung Cheung Road,South East,Lung Cheung Road near Elizabethan Court - Eastbound [AID07211]
TKR10001,TDSTKR10003,TRUE,Tai Po,Ting Kok Road,East,Ting Kok Road near Dai Kwai Street - Eastbound [TDSTKR10003]
TKR10001,TDSTKR20004,FALSE,Tai Po,Ting Kok Road,East,Ting Kok Road near Ting Hing Road - Westbound [TDSTKR20004]
TKR20001,TDSTKR10003,FALSE,Tai Po,Ting Kok Road,West,Ting Kok Road near Dai Kwai Street - Eastbound [TDSTKR10003]
TPR10001,TDSTPR10013,TRUE,Sha Tin,Tai Po Road - Ma Liu Shui,South East,Tai Po Road - Ma Liu Shui near University Avenue - Southbound [TDSTPR10013]
TPR10001,TDSTPR20011,FALSE,Sha Tin,Tai Po Road - Ma Liu Shui,South East,Tai Po Road - Ma Liu Shui near University Avenue - Northbound [TDSTPR20011]
TPR20001,TDSTPR10013,FALSE,Sha Tin,Tai Po Road - Ma Liu Shui,North West,Tai Po Road - Ma Liu Shui near University Avenue - Southbound [TDSTPR10013]
TPSH20001,AID07129,FALSE,Sha Tin,Tai Po Road-Sha Tin Heights,West,Lung Cheung Road near Monte Carlton - Westbound [AID07129]
